,codes,names
1031,PMS,CTCP Cơ khí Xăng dầu
1032,PMT,CTCP Viễn thông TELVINA Việt Nam
1033,PMW,CTCP Cấp nước Phú Mỹ
1034,PNC,CTCP Văn hóa Phương Nam
1035,PND,CTCP Xăng dầu Dầu khí Nam Định
1036,PNG,CTCP Thương mại Phú Nhuận
1037,PNJ,CTCP Vàng bạc Đá quý Phú Nhuận
1038,PNP,CTCP Tân Cảng - Phú Hữu
1039,PNT,CTCP Kỹ thuật Xây dựng Phú Nhuận
1040,POB,CTCP Xăng dầu Dầu khí Thái Bình
1041,POM,CTCP Thép Pomina
1042,POS,"CTCP Dịch vụ Lắp đặt, Vận hành và Bảo dưỡng Công trình Dầu khí Biển PTSC"
1043,POT,CTCP Thiết bị Bưu điện
1044,POV,CTCP Xăng dầu Dầu khí Vũng Áng
1045,POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
1046,PPC,CTCP Nhiệt điện Phả Lại
1047,PPE,CTCP Tư vấn Điện lực Dầu khí Việt Nam
1048,PPH,Tổng Công ty cổ phần Phong Phú
1049,PPI,CTCP Đầu tư và Phát triển Dự án Hạ tầng Thái Bình Dương
1050,PPP,CTCP Dược phẩm Phong Phú
1051,PPS,CTCP Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam
1052,PPY,CTCP Xăng dầu Dầu khí Phú Yên
1053,PQN,CTCP Dịch vụ Dầu khí Quảng Ngãi PTSC
1054,PRC,CTCP Logistics Portserco
1055,PRE,Tổng Công ty cổ phần Tái bảo hiểm PVI
1056,PRO,CTCP Procimex Việt Nam
1057,PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP
1058,PSB,CTCP Đầu tư Dầu khí Sao Mai - Bến Đình
1059,PSC,CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn
1060,PSD,CTCP Dịch vụ Phân phối Tổng hợp Dầu khí
1061,PSE,CTCP Phân Bón và Hóa Chất Dầu khí Đông Nam Bộ
1062,PSG,CTCP Đầu Tư và Xây lắp Dầu khí Sài Gòn
1063,PSH,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu
1064,PSI,CTCP Chứng khoán Dầu khí
1065,PSL,CTCP Chăn nuôi Phú Sơn
1066,PSN,CTCP Cảng Dịch vụ Dầu khí Tổng hợp PTSC Thanh Hóa
1067,PSP,CTCP Cảng Dịch vụ Dầu khí Đình Vũ
1068,PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ
1069,PTB,CTCP Phú Tài
1070,PTC,CTCP Đầu tư và Xây dựng Bưu điện
1071,PTD,CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh
1072,PTE,CTCP Xi măng Phú Thọ
1073,PTG,CTCP May Xuất khẩu Phan Thiết
1074,PTH,CTCP Vận tải và Dịch vụ Petrolimex Hà Tây
1075,PTI,Tổng Công ty cổ phần Bảo hiểm Bưu điện
1076,PTK,CTCP Luyện kim Phú Thịnh
1077,PTL,CTCP Đầu tư Hạ tầng và Đô thị Dầu khí
1078,PTO,CTCP Dịch vụ - Xây dựng Công trình Bưu Điện
1079,PTP,CTCP Dịch vụ Viễn thông và In Bưu điện
1080,PTS,CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng
1081,PTT,CTCP Vận tải Dầu khí Đông Dương
1082,PTV,CTCP Thương mại Dầu khí
1083,PTX,CTCP Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh
1084,PV2,CTCP Đầu tư PV2
1085,PVA,CTCP Tổng Công ty Xây lắp Dầu khí Nghệ An
1086,PVB,CTCP Bọc ống Dầu khí Việt Nam
1087,PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP
1088,PVD,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí
1089,PVE,Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP
1090,PVG,CTCP Kinh doanh LPG Việt Nam
1091,PVH,CTCP Xây lắp Dầu khí Thanh Hóa
1092,PVI,CTCP PVI
1093,PVL,CTCP Đầu tư Nhà Đất Việt
1094,PVM,CTCP Máy - Thiết bị Dầu khí
1095,PVO,CTCP Dầu nhờn PV Oil
1096,PVP,CTCP Vận tải Dầu khí Thái Bình Dương
1097,PVR,CTCP Đầu tư PVR Hà Nội
1098,PVS,Tổng Công ty cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam
1099,PVT,Tổng Công ty cổ phần Vận tải Dầu khí
1100,PVV,CTCP Vinaconex 39
1101,PVX,Tổng Công ty cổ phần Xây lắp Dầu khí Việt Nam
1102,PVY,CTCP Chế tạo Giàn khoan Dầu khí
1103,PWA,CTCP Bất động sản Dầu khí
1104,PWS,CTCP Cấp thoát nước Phú Yên
1105,PX1,CTCP Xi măng Sông Lam 2
1106,PXA,CTCP Đầu tư và Thương mại Dầu khí Nghệ An
1107,PXC,CTCP Phát triển Đô thị Dầu khí
1108,PXI,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí
1109,PXL,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn
1110,PXM,CTCP Xây lắp Dầu khí Miền Trung
1111,PXS,CTCP Kết cấu Kim loại và Lắp máy Dầu khí
1112,PXT,CTCP Xây lắp Đường ống Bể chứa Dầu khí
1113,PYU,CTCP Môi trường và Công trình Đô thị Phúc Yên
1114,QBR,CTCP Đường sắt Quảng Bình
1115,QBS,CTCP Xuất nhập khẩu Quảng Bình
1116,QCC,CTCP Đầu tư Xây dựng và Phát triển Hạ tầng Viễn thông
1117,QCG,CTCP Quốc Cường Gia Lai
1118,QHD,CTCP Que hàn điện Việt Đức
1119,QHW,CTCP Nước khoáng Quảng Ninh
1120,QLD,CTCP Quản lý và Xây dựng Giao thông Lạng Sơn
1121,QLT,CTCP Quản lý Bảo trì Đường thủy Nội địa Số 10
1122,QNC,CTCP Xi măng và Xây dựng Quảng Ninh
1123,QNS,CTCP Đường Quảng Ngãi
1124,QNT,Trung tâm Tư vấn xây dựng thị xã Điện Bàn
1125,QNU,CTCP Môi trường Đô thị Quảng Nam
1126,QNW,CTCP Cấp thoát nước và Xây dựng Quảng Ngãi
1127,QPH,CTCP Thủy điện Quế Phong
1128,QSP,CTCP Tân Cảng Quy Nhơn
1129,QST,CTCP Sách và Thiết bị Trường học Quảng Ninh
1130,QTC,CTCP Công trình Giao thông Vận tải Quảng Nam
1131,QTP,CTCP Nhiệt điện Quảng Ninh
1132,RAL,CTCP Bóng đèn Phích nước Rạng Đông
1133,RAT,CTCP Vận tải và Thương mại Đường sắt
1134,RBC,CTCP Công nghiệp và Xuất nhập khẩu Cao su
1135,RCC,CTCP Tổng Công ty Công trình Đường sắt
1136,RCD,CTCP Xây dựng - Địa ốc Cao su
1137,RCL,CTCP Địa ốc Chợ Lớn
1138,RDP,CTCP Rạng Đông Holding
1139,REE,CTCP Cơ Điện Lạnh
1140,RGC,CTCP Đầu tư PV - Inconess
1141,RHN,CTCP Đường sắt Hà Ninh
1142,RIC,CTCP Quốc tế Hoàng Gia
1143,RLC,CTCP Đường bộ Lào Cai
1144,ROS,CTCP Xây dựng FLC Faros
1145,RTB,CTCP Cao su Tân Biên
1146,RTH,CTCP Đường sắt Thanh Hóa
1147,RTS,CTCP Thông tin Tín hiệu Đường sắt Đà Nẵng
1148,S12,CTCP Sông Đà 12
1149,S27,CTCP Sông Đà 27
1150,S4A,CTCP Thủy điện Sê San 4A
1151,S55,CTCP Sông Đà 505
1152,S72,CTCP Sông Đà 7.02
1153,S74,CTCP Sông Đà 7.04
1154,S96,CTCP Sông Đà 9.06
1155,S99,CTCP SCI
1156,SAB,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn
1157,SAC,CTCP Xếp dỡ và Dịch vụ Cảng Sài Gòn
1158,SAF,CTCP Lương thực Thực phẩm Safoco
1159,SAL,CTCP Trục vớt Cứu hộ Việt Nam
1160,SAM,CTCP SAM HOLDINGS
1161,SAP,CTCP In Sách giáo khoa Thành phố Hồ Chí Minh
1162,SAS,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất
1163,SAV,CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex
1164,SB1,CTCP Bia Sài Gòn - Nghệ Tĩnh
1165,SBA,CTCP Sông Ba
1166,SBD,CTCP Công nghệ Sao Bắc Đẩu
1167,SBH,CTCP Thủy điện Sông Ba Hạ
1168,SBL,CTCP Bia Sài Gòn - Bạc Liêu
1169,SBM,CTCP Đầu tư Phát triển Bắc Minh
1170,SBR,CTCP Cao su Sông Bé
1171,SBS,CTCP Chứng khoán Ngân hàng Sài Gòn Thương Tín
1172,SBT,CTCP Thành Thành Công - Biên Hòa
1173,SBV,CTCP Siam Brothers Việt Nam
1174,SC5,CTCP Xây dựng Số 5
1175,SCA,CTCP Nông nghiệp Sông Con
1176,SCC,CTCP Đầu tư Thương mại Hưng Long Tỉnh Hòa Bình
1177,SCD,CTCP Nước giải khát Chương Dương
1178,SCI,CTCP SCI E&C
1179,SCJ,CTCP Xi măng Sài Sơn
1180,SCL,CTCP Sông Đà Cao Cường
1181,SCO,CTCP Công nghiệp Thủy sản
1182,SCR,CTCP Địa ốc Sài Gòn Thương Tín
1183,SCS,CTCP Dịch vụ Hàng hóa Sài Gòn
1184,SCY,CTCP Đóng tàu Sông Cấm
1185,SD1,CTCP Sông Đà 1
1186,SD2,CTCP Sông Đà 2
1187,SD3,CTCP Sông Đà 3
1188,SD4,CTCP Sông Đà 4
1189,SD5,CTCP Sông Đà 5
1190,SD6,CTCP Sông Đà 6
1191,SD7,CTCP Sông Đà 7
1192,SD8,CTCP Sông Đà 8
1193,SD9,CTCP Sông Đà 9
1194,SDA,CTCP Simco Sông Đà
1195,SDB,CTCP Sông Đà 207
1196,SDC,CTCP Tư vấn Sông Đà
1197,SDD,CTCP Đầu tư và Xây lắp Sông Đà
1198,SDE,CTCP Kỹ thuật Điện Sông Đà
1199,SDG,CTCP Sadico Cần Thơ
1200,SDH,CTCP Xây dựng Hạ tầng Sông Đà
1201,SDJ,CTCP Sông Đà 25
1202,SDK,CTCP Cơ khí Luyện kim
1203,SDN,CTCP Sơn Đồng Nai
1204,SDP,CTCP SDP
1205,SDT,CTCP Sông Đà 10
1206,SDU,CTCP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà
1207,SDV,CTCP Dịch vụ Sonadezi
1208,SDX,CTCP Phòng cháy Chữa cháy và Đầu tư Xây dựng Sông Đà
1209,SDY,CTCP Xi măng Sông Đà Yaly
1210,SEA,Tổng Công ty Thủy sản Việt Nam - CTCP
1211,SEB,CTCP Đầu tư và Phát triển Điện Miền Trung
1212,SED,CTCP Đầu tư và Phát triển Giáo dục Phương Nam
1213,SEP,CTCP Tổng Công ty Thương mại Quảng Trị
1214,SFC,CTCP Nhiên liệu Sài Gòn
1215,SFG,CTCP Phân Bón Miền Nam
1216,SFI,CTCP Đại lý Vận tải SAFI
1217,SFN,CTCP Dệt lưới Sài Gòn
1218,SGB,Ngân hàng TMCP Sài Gòn Công Thương
1219,SGC,CTCP Xuất nhập khẩu Sa Giang
1220,SGD,CTCP Sách Giáo dục tại Thành phố Hồ Chí Minh
1221,SGH,CTCP Khách sạn Sài Gòn
1222,SGN,CTCP Phục vụ Mặt đất Sài Gòn
1223,SGO,CTCP Dầu thực vật Sài Gòn
1224,SGP,CTCP Cảng Sài Gòn
1225,SGR,CTCP Địa ốc Sài Gòn
1226,SGS,CTCP Vận tải biển Sài Gòn
1227,SGT,CTCP Công nghệ Viễn Thông Sài Gòn
1228,SHA,CTCP Sơn Hà Sài Gòn
1229,SHB,Ngân hàng TMCP Sài Gòn - Hà Nội
1230,SHC,CTCP Hàng hải Sài Gòn
1231,SHE,CTCP Phát triển năng lượng Sơn Hà
1232,SHG,Tổng Công ty cổ phần Sông Hồng
1233,SHI,CTCP Quốc tế Sơn Hà
1234,SHN,CTCP Đầu tư Tổng hợp Hà Nội
1235,SHP,CTCP Thủy điện Miền Nam
1236,SHS,CTCP Chứng khoán Sài Gòn - Hà Nội
1237,SHX,CTCP Sài Gòn Hỏa xa
1238,SIC,CTCP ANI
1239,SID,CTCP Đầu tư Phát triển Sài Gòn Co.op
1240,SIG,CTCP Đầu tư và Thương mại Sông Đà
1241,SII,CTCP Hạ tầng Nước Sài Gòn
1242,SIP,CTCP Đầu tư Sài Gòn VRG
1243,SIV,CTCP SIVICO
1244,SJ1,CTCP Nông nghiệp Hùng Hậu
1245,SJC,CTCP Sông Đà 1.01
1246,SJD,CTCP Thủy điện Cần Đơn
1247,SJE,CTCP Sông Đà 11
1248,SJF,CTCP Đầu tư Sao Thái Dương
1249,SJG,Tổng Công ty Sông Đà - CTCP
1250,SJM,CTCP Sông Đà 19
1251,SJS,CTCP Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà
1252,SKG,CTCP Tàu cao tốc Superdong - Kiên Giang
1253,SKH,CTCP Nước giải khát Sanest Khánh Hòa
1254,SKN,CTCP Nước giải khát Sanna Khánh Hòa
1255,SKV,CTCP Nước giải khát Yến sào Khánh Hòa
1256,SLS,CTCP Mía Đường Sơn La
1257,SMA,CTCP Thiết bị Phụ tùng Sài Gòn
1258,SMB,CTCP Bia Sài Gòn - Miền Trung
1259,SMC,CTCP Đầu tư Thương mại SMC
1260,SMN,CTCP Sách và Thiết bị Giáo dục Miền Nam
1261,SMT,CTCP Sametel
1262,SNC,CTCP Xuất nhập khẩu Thủy sản Năm Căn
1263,SNZ,Tổng Công ty cổ phần Phát triển Khu Công nghiệp
1264,SON,CTCP Cung ứng Nhân lực Quốc tế và Thương mại
1265,SOV,CTCP Mắt kính Sài Gòn
1266,SP2,CTCP Thủy điện Sử Pán 2
1267,SPA,CTCP Bao bì Sài Gòn
1268,SPB,CTCP Sợi Phú Bài
1269,SPC,CTCP Bảo vệ Thực vật Sài Gòn
1270,SPD,CTCP Xuất nhập khẩu Thủy sản Miền Trung
1271,SPH,CTCP Xuất nhập khẩu Thủy sản Hà Nội
1272,SPI,CTCP SPI
1273,SPM,CTCP SPM
1274,SPP,CTCP Bao bì Nhựa Sài Gòn
1275,SPV,CTCP Thủy Đặc sản
1276,SQC,CTCP Khoáng sản Sài Gòn - Quy Nhơn
1277,SRA,CTCP Sara Việt Nam
1278,SRB,CTCP Tập đoàn Sara
1279,SRC,CTCP Cao su Sao Vàng
1280,SRF,CTCP Kỹ nghệ Lạnh
1281,SRT,CTCP Vận tải Đường sắt Sài Gòn
1282,SSC,CTCP Giống cây trồng Miền Nam
1283,SSF,CTCP Giáo dục G Sài Gòn
1284,SSG,CTCP Vận tải biển Hải Âu
1285,SSI,CTCP Chứng khoán SSI
1286,SSM,CTCP Chế tạo kết cấu Thép Vneco.SSM
1287,SSN,CTCP Xuất nhập khẩu Thủy sản Sài Gòn
1288,SSU,CTCP Môi trường Đô thị Sóc Sơn
1289,ST8,CTCP Siêu Thanh
1290,STB,Ngân hàng TMCP Sài Gòn Thương Tín
1291,STC,CTCP Sách và Thiết bị Trường học Thành phố Hồ Chí Minh
1292,STG,CTCP Kho vận Miền Nam
1293,STH,CTCP Phát hành Sách Thái Nguyên
1294,STK,CTCP Sợi Thế Kỷ
1295,STL,CTCP Sông Đà Thăng Long
1296,STP,CTCP Công nghiệp Thương mại Sông Đà
1297,STS,CTCP Dịch vụ Vận tải Sài Gòn
1298,STT,CTCP Vận chuyển Sài Gòn Tourist
1299,STU,CTCP Môi Trường và Công trình Đô Thị Sơn Tây
1300,STV,CTCP Chế tác Đá Việt Nam
1301,STW,CTCP Cấp nước Sóc Trăng
1302,SUM,CTCP Đo đạc và Khoáng sản
1303,SVC,CTCP Dịch vụ Tổng hợp Sài Gòn
1304,SVD,CTCP Đầu tư & Thương mại Vũ Đăng
1305,SVG,CTCP Hơi Kỹ nghệ Que hàn
1306,SVH,CTCP Thủy điện Sông Vàng
1307,SVI,CTCP Bao bì Biên Hòa
1308,SVL,CTCP Nhân lực Quốc tế Sovilaco
1309,SVN,CTCP Tập đoàn Vexilla Việt Nam
1310,SVT,CTCP Công nghệ Sài Gòn Viễn Đông
1311,SWC,Tổng Công ty cổ phần Đường sông Miền Nam
1312,SZB,CTCP Sonadezi Long Bình
1313,SZC,CTCP Sonadezi Châu Đức
1314,SZE,CTCP Môi trường Sonadezi
1315,SZL,CTCP Sonadezi Long Thành
1316,T12,CTCP Thương mại Dịch vụ Tràng Thi
1317,TA3,CTCP Đầu tư và Xây lắp Thành An 386
1318,TA6,CTCP Đầu tư và Xây lắp Thành An 665
1319,TA9,CTCP Xây lắp Thành An 96
1320,TAC,CTCP Dầu thực vật Tường An
1321,TAG,CTCP Thế Giới Số Trần Anh
1322,TAN,Công ty TNHH MTV Cà phê Thuận An
1323,TAP,CTCP Đô thị Tân An
1324,TAR,CTCP Nông nghiệp Công nghệ cao Trung An
1325,TAW,CTCP Cấp nước Trung An
1326,TB8,CTCP Sản xuất và Kinh doanh Vật tư Thiết bị - VVMI
1327,TBC,CTCP Thủy điện Thác Bà
1328,TBD,Tổng Công ty Thiết bị Điện Đông Anh - CTCP
1329,TBT,CTCP Xây dựng Công trình Giao thông Bến Tre
1330,TBX,CTCP Xi măng Thái Bình
1331,TC6,CTCP Than Cọc Sáu - Vinacomin
1332,TCB,Ngân hàng TMCP Kỹ thương Việt Nam
1333,TCD,CTCP Đầu tư Phát triển Công nghiệp và Vận tải
1334,TCH,CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy
1335,TCI,CTCP Chứng khoán Thành Công
1336,TCJ,CTCP Tô Châu
1337,TCK,Tổng Công ty Cơ khí Xây dựng - CTCP
1338,TCL,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng
1339,TCM,CTCP Dệt may - Đầu tư - Thương mại Thành Công
1340,TCO,CTCP Vận tải Đa phương thức Duyên Hải
1341,TCR,CTCP Công nghiệp Gốm sứ Taicera
1342,TCT,CTCP Cáp treo Núi Bà Tây Ninh
1343,TCW,CTCP Kho Vận Tân Cảng
1344,TDB,CTCP Thủy điện Định Bình
1345,TDC,CTCP Kinh doanh và Phát triển Bình Dương
1346,TDF,CTCP Trung Đô
1347,TDG,CTCP Dầu khí Thái Dương
1348,TDH,CTCP Phát triển Nhà Thủ Đức
1349,TDM,CTCP Nước Thủ Dầu Một
1350,TDN,CTCP Than Đèo Nai - Vinacomin
1351,TDP,CTCP Thuận Đức
1352,TDS,CTCP Thép Thủ Đức - VNSTEEL
1353,TDT,CTCP Đầu tư và Phát triển TDT
1354,TDW,CTCP Cấp nước Thủ Đức
1355,TEC,CTCP TRAENCO
1356,TEG,CTCP Năng lượng và Bất động sản Trường Thành
1357,TEL,CTCP Phát triển Công trình Viễn thông
1358,TET,CTCP Vải sợi May mặc Miền Bắc
1359,TFC,CTCP Trang
1360,TGG,CTCP Xây dựng và Đầu tư Trường Giang
1361,TGP,CTCP Trường Phú
1362,TH1,CTCP Xuất nhập khẩu tổng hợp 1 Việt Nam
1363,THB,CTCP Bia Hà Nội - Thanh Hóa
1364,THD,CTCP Thaiholdings
1365,THG,CTCP Đầu tư và Xây dựng Tiền Giang
1366,THI,CTCP Thiết bị Điện
1367,THN,CTCP Cấp nước Thanh Hóa
1368,THP,CTCP Thủy sản và Thương mại Thuận Phước
1369,THR,CTCP Đường sắt Thuận Hải
1370,THS,CTCP Thanh Hoa - Sông Đà
1371,THT,CTCP Than Hà Tu - Vinacomin
1372,THU,CTCP Môi trường và Công trình Đô thị Thanh Hóa
1373,THW,CTCP Cấp nước Tân Hòa
1374,TID,CTCP Tổng Công ty Tín Nghĩa
1375,TIE,CTCP TIE
1376,TIG,CTCP Tập đoàn Đầu tư Thăng Long
1377,TIP,CTCP Phát triển Khu Công nghiệp Tín Nghĩa
1378,TIS,CTCP Gang thép Thái Nguyên
1379,TIX,CTCP Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình
1380,TJC,CTCP Dịch vụ Vận tải và Thương mại
1381,TKA,CTCP Bao bì Tân Khánh An
1382,TKC,CTCP Xây dựng và Kinh doanh Địa ốc Tân Kỷ
1383,TKU,CTCP Công nghiệp Tung Kuang
1384,TL4,Tổng Công ty cổ phần Xây dựng Thủy Lợi 4
1385,TLD,CTCP Đầu tư Xây dựng và Phát triển Đô thị Thăng Long
1386,TLG,CTCP Tập đoàn Thiên Long
1387,TLH,CTCP Tập đoàn Thép Tiến Lên
1388,TLI,CTCP May Quốc tế Thắng Lợi
1389,TLP,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP
1390,TLT,CTCP Viglacera Thăng Long
1391,TMB,CTCP Kinh doanh Than Miền Bắc - Vinacomin
1392,TMC,CTCP Thương mại Xuất nhập khẩu Thủ Đức
1393,TMG,CTCP Kim loại màu Thái Nguyên - Vimico
1394,TMP,CTCP Thủy điện Thác Mơ
1395,TMS,CTCP Transimex
1396,TMT,CTCP Ô tô TMT
1397,TMW,CTCP Tổng hợp Gỗ Tân Mai
1398,TMX,CTCP VICEM Thương mại Xi măng
1399,TN1,CTCP Thương mại Dịch vụ TNS Holdings
1400,TNA,CTCP Thương mại Xuất nhập khẩu Thiên Nam
1401,TNB,CTCP Thép Nhà Bè - VNSTEEL
1402,TNC,CTCP Cao su Thống Nhất
1403,TNG,CTCP Đầu tư và Thương mại TNG
1404,TNH,CTCP Bệnh viện Quốc tế Thái Nguyên
1405,TNI,CTCP Tập đoàn Thành Nam
1406,TNM,CTCP Xuất nhập khẩu và Xây dựng Công trình
1407,TNP,CTCP Cảng Thị Nại
1408,TNS,CTCP Thép tấm lá Thống Nhất
1409,TNT,CTCP Tài Nguyên
1410,TNW,CTCP Nước sạch Thái Nguyên
1411,TOP,CTCP Phân phối Top One
1412,TOT,CTCP Vận tải Transimex
1413,TOW,CTCP Cấp nước Trà Nóc - Ô Môn
1414,TPB,Ngân hàng TMCP Tiên Phong
1415,TPC,CTCP Nhựa Tân Đại Hưng
1416,TPH,CTCP In sách giáo khoa tại Thành phố Hà Nội
1417,TPP,CTCP Nhựa Tân Phú
1418,TPS,CTCP Bến Bãi Vận tải Sài Gòn
1419,TQN,CTCP Thông Quảng Ninh
1420,TQW,CTCP Cấp thoát nước Tuyên Quang
1421,TR1,CTCP Vận tải 1 Traco
1422,TRA,CTCP Traphaco
1423,TRC,CTCP Cao su Tây Ninh
1424,TRS,CTCP Vận tải và Dịch vụ Hàng hải
1425,TRT,CTCP Trúc Thôn
1426,TS3,CTCP Trường Sơn 532
1427,TS4,CTCP Thủy sản Số 4
1428,TS5,CTCP Trường Sơn 145
1429,TSB,CTCP Ắc quy Tia Sáng
1430,TSC,CTCP Vật tư Kỹ thuật nông nghiệp Cần Thơ
1431,TSD,CTCP Du lịch Trường Sơn COECCO
1432,TSG,CTCP Thông tin Tín hiệu Đường sắt Sài Gòn
1433,TSJ,CTCP Du lịch Dịch vụ Hà Nội
1434,TST,CTCP Dịch vụ Kỹ Thuật Viễn thông
1435,TTA,CTCP Đầu tư Xây dựng và Phát triển Trường Thành
1436,TTB,CTCP Tập đoàn Tiến Bộ
1437,TTC,CTCP Gạch men Thanh Thanh
1438,TTD,CTCP Bệnh viện tim Tâm Đức
1439,TTE,CTCP Đầu tư Năng lượng Trường Thịnh
1440,TTF,CTCP Tập đoàn Kỹ nghệ gỗ Trường Thành
1441,TTG,CTCP May Thanh Trì
1442,TTH,CTCP Thương mại và Dịch vụ Tiến Thành
1443,TTL,Tổng Công ty Thăng Long - CTCP
1444,TTN,CTCP Công nghệ và Truyền thông Việt Nam
1445,TTP,CTCP Bao bì nhựa Tân Tiến
1446,TTS,CTCP Cán Thép Thái Trung
1447,TTT,CTCP Du lịch - Thương mại Tây Ninh
1448,TTV,CTCP Thông tin Tín hiệu Đường sắt Vinh
1449,TTZ,CTCP Đầu tư Xây dựng và Công nghệ Tiến Trung
1450,TUG,CTCP Lai Dắt và Vận tải Cảng Hải Phòng
1451,TV1,CTCP Tư vấn Xây dựng Điện 1
1452,TV2,CTCP Tư vấn Xây dựng Điện 2
1453,TV3,CTCP Tư vấn Xây dựng Điện 3
1454,TV4,CTCP Tư vấn Xây dựng Điện 4
1455,TVA,CTCP Sứ Viglacera Thanh Trì
1456,TVB,CTCP Chứng khoán Trí Việt
1457,TVC,CTCP Tập đoàn Quản lý Tài sản Trí Việt
1458,TVD,CTCP Than Vàng Danh - Vinacomin
1459,TVG,CTCP Tư vấn Đầu tư và Xây dựng Giao thông Vận tải
1460,TVH,CTCP Tư vấn Xây dựng công trình Hàng hải
1461,TVM,CTCP Tư vấn Đầu tư mỏ và Công Nghiệp - Vinacomin
1462,TVN,Tổng Công ty Thép Việt Nam - CTCP
1463,TVP,CTCP Dược phẩm TV.Pharm
1464,TVS,CTCP Chứng khoán Thiên Việt
1465,TVT,Tổng Công ty Việt Thắng - CTCP
1466,TVU,CTCP Công trình Đô thị Trà Vinh
1467,TVW,CTCP Cấp thoát nước Trà Vinh
1468,TW3,CTCP Dược Trung ương 3
1469,TXM,CTCP VICEM Thạch cao Xi măng
1470,TYA,CTCP Dây và Cáp Điện Taya Việt Nam
1471,UCT,CTCP Đô thị Cần Thơ
1472,UDC,CTCP Xây dựng và Phát triển Đô thị Tỉnh Bà Rịa Vũng Tàu
1473,UDJ,CTCP Phát triển Đô thị
1474,UDL,CTCP Đô thị và Môi trường Đắk Lắk
1475,UEM,CTCP Cơ điện Uông Bí - Vinacomin
1476,UIC,CTCP Đầu tư Phát triển Nhà và Đô thị IDICO
1477,UMC,CTCP Công trình Đô thị Nam Định
1478,UNI,CTCP Viễn Liên
1479,UPC,CTCP Phát triển Công viên Cây xanh và Đô thị Vũng Tàu
1480,UPH,CTCP Dược phẩm TW 25
1481,USC,CTCP Khảo sát và Xây dựng -USCO
1482,USD,CTCP Công trình Đô thị Sóc Trăng
1483,V11,CTCP Xây dựng Số 11
1484,V12,CTCP Xây dựng Số 12
1485,V15,CTCP Xây dựng Số 15
1486,V21,CTCP Vinaconex 21
1487,VAF,CTCP Phân lân Nung chảy Văn Điển
1488,VAT,CTCP Viễn thông Vạn Xuân
1489,VAV,CTCP VIWACO
1490,VBB,Ngân hàng TMCP Việt Nam Thương Tín
1491,VBC,CTCP Nhựa - Bao bì Vinh
1492,VBG,CTCP Địa chất Việt Bắc - TKV
1493,VBH,CTCP Điện tử Bình Hòa
1494,VC1,CTCP Xây dựng Số 1
1495,VC2,CTCP Đầu tư và Xây dựng Vina2
1496,VC3,CTCP Tập đoàn Nam Mê Kông
1497,VC5,CTCP Xây dựng Số 5
1498,VC6,CTCP Xây dựng và Đầu tư Visicons
1499,VC7,CTCP Xây dựng Số 7
1500,VC9,CTCP Xây dựng Số 9
1501,VCB,Ngân hàng TMCP Ngoại thương Việt Nam
1502,VCC,CTCP Vinaconex 25
1503,VCE,CTCP Xây lắp Môi trường
1504,VCF,CTCP Vinacafé Biên Hòa
1505,VCG,Tổng Công ty cổ phần Xuất nhập khẩu và Xây dựng Việt Nam
1506,VCI,CTCP Chứng khoán Bản Việt
1507,VCM,CTCP Nhân lực và Thương mại Vinaconex
1508,VCP,CTCP Tư Xây dựng và Phát triển Năng Lượng VCP
1509,VCR,CTCP Đầu tư và Phát triển Du lịch Vinaconex
1510,VCS,CTCP Vicostone
1511,VCT,CTCP Tư vấn Xây dựng Vinaconex
1512,VCW,CTCP Đầu tư Nước sạch Sông Đà
1513,VCX,CTCP Xi măng Yên Bình
1514,VDB,CTCP Vận tải và Chế biến Than Đông Bắc
1515,VDL,CTCP Thực phẩm Lâm Đồng
1516,VDM,Viện Dệt May
1517,VDN,CTCP Vinatex Đà Nẵng
1518,VDP,CTCP Dược phẩm Trung ương VIDIPHA
1519,VDS,CTCP Chứng khoán Rồng Việt
